id,eng__001,eng__002,eng__003,eng__004,afr__001,afr__002,zul__001,zul__002,zul__003,xho__001,xho__002,xho__003,xho__004,ssw__001,ssw__002,ssw__003,ssw__004,nde__001,nde__002,nde__003,nde__004,tsn__001,tsn__002,tsn__003,tsn__004,nso__001,nso__002,nso__003,nso__004,nso__005,nso__006,sot__001,sot__002,sot__003,sot__004,sot__005,ven__001,ven__002,ven__003,ven__004,tso__001,tso__002
dsac_multi_soc_00001,terminate,abandon {match},,,afgelas {wedstryd},,-misa {umdlalo},,,ukuchitha umdlalo,,,,misa {umdlalo},,,,-qintela {umdlalo},,,,emisa,phimola,,,fediša {papadi},,,,,,emisa,fedisa,,,,kaṱudza {mutambo},,,,yimisa {ntlangu},
dsac_multi_soc_00002,foul language,abusive language,,,beledigende taal,skeltaal,inhlamba,,,intetho ekrwada,,,,lulwimi loluhlambalatako,kwetfuka,kuhlambalata,,ihlamba,ukuthukana,,,puothogako,puotshotlo,,,polelomahlapa,polelomaroga,,,,,tlhapa,,,,,u semana,,,,ririmi ro ka ri nga amukeleki,
dsac_multi_soc_00003,accidental collision,,,,toevallige botsing,,ukungqubuzana ngephutha,ukushayisana ngephutha,,ukungqubana ngempazamo,ukugilana ngempazamo,,,kungcundzana,kushayisana,,,ukuqhulana ngengozi,ukuqhulana ngephoso,ukutjhayisana ngengozi,ukutjhayisana ngephoso,thulano ka phoso,,,,thulano ka phošo,,,,,,ho thulana ka phoso,,,,,u thulana hu songo lavhelelwaho,u kuḓana hu songo lavhelelwaho,,,ntlumbano hi xihoxo,
dsac_multi_soc_00004,advantage clause,advantage rule,advantage law,,voordeelreël,,umthetho wokubonelela,umthetho wokuzwela,,igunya likasompempe,ilungelo likasompempe,,,umtsetfo lovunako,,,,umthetho ovumelako,indinyana evumelako,,,molawanatshiamelo,,,,molao wa go fa monyetla,molao wa go fa sebaka,,,,,molawana o fanang ka monyetla,,,,,mulayo wa u fha tshikhala,,,,xinawana xa mpfuneto,
dsac_multi_soc_00005,African Champions League,,,,Afrika-kampioeneliga,,uMqhudelwano Wompetha Beligi Base-Afrika,,,iLigi yooMpondozihlanjiwe baseAfrika,iLigi yeeNtshatsheli zaseAfrika,,,Iligi Yaboshampheni Base-Afrika,,,,iLigi yeenKutani ze-Afrika,,,,Lliki ya ditshimega tsa Aforika,Lliki ya Bommampodi ba Aforika,,,Lliki ya Dinkgwete tša Afrika,,,,,,Liki ya Bompodi ba Aforika,,,,,Ḽigi ya Ngweṋa dza Afrika,,,,Ligi ya Tinghwazi ta Afrika,
dsac_multi_soc_00006,African Cup of Nations,,,,Afrika-nasieskampioenskap,,iNdebe Yamazwe Ase-Afrika,,,iNdebe yaMazwe aseAfrika,,,,Indzebe Yemave Ase-Afrika,,,,iBhigiri yeenTjhaba ze-Afrika,,,,Sejana sa Dinaga tsa Aforika,Sekgele sa Dinaga tsa Aforika,,,Sebjana sa Dinaga tša Afrika,Mogopo wa Dinaga tša Afrika,,,,,Mohope wa Dinaha tsa Aforika,,,,,Tshiphuga tsha Mashango a Afrika,,,,Khapu ya Matiko ya Afrika,
dsac_multi_soc_00007,amateur,,,,amateur,,umdlali osafufusa,,,umdlali osakhasayo,umdlali osaqingqayo,,,umdlali losakhasa,,,,umafundana,,,,magogorwane,,,,magogorwane,setlaboswana,,,,,maithutwana,makgokgorwana,,,,mutambi a sa tambeli malamba,,,,mutlangi wa madyondza,
dsac_multi_soc_00008,application {law},,,,toepassing {reël},,ukusetshenziswa {komthetho},,,ukusetyenziswa komthetho ngusompempe,,,,kusetjentiswa {umtsetfo},,,,ukusetjenziswa {umthetho},,,,tiragatso,,,,tirišo {molao},,,,,,tshebediso {molao},,,,,u shumisa {mulayo},,,,matirhiselo {ya nawu},
dsac_multi_soc_00009,assistant coach, assistant trainer,,,hulpafrigter,,umsizimlolongi,isekelamqeqeshi,,usekela-mqeqeshi,umncedisi-mqeqeshi,,,umsitimceceshi,umsiti wemceceshi,,,isekelambanduli,,,,mothusamokatisi,,,,mothušamohlahli,mothušamorutantšhi,,,,,mothusi wa mokwetlisi,,,,,muthusamugudisi,,,,mupfunamudzaberi,
dsac_multi_soc_00010,assistant referee,linesman,,,lynregter,,umsizi kanompempe,umsizi kanondweba,,usekela-sompempe,umncedisi-sompempe,,,umsiti wasomfengwane,umsiti wemphatsimdlalo,umsiti wasompempe,,umsizisofengwana,,,,mothusamolaolamotshameko,mothusamoletsaphala,,,mothušamalokwane,,,,,,mothusi wa moletsaphala,mothusi wa moteaphala,mothusi wa molaolapapadi,,,muthusamalogwane,muthusamulangamutambo,,,mupfunan'watipempe,
dsac_multi_soc_00011,assistant referee's flag,,,,lynregtersvlaggie,,ifulegi lomsizi kanompempe,iduku lomsizi kanompempe,,iflegi kasekela-sompempe,iflegi kamncedisi-sompempe,,,umbhelebhele wemsiti wasomfengwane,umbhelebhele wemsiti wasompempe,,,iflarha yomsizisofengwana,,,,folaga ya mothusamoletsaphala,folaga ya mothusamolaolamotshameko,,,folaga ya mothušamalokwane,,,,,,folakga ya mothusi wa moletsaphala,folakga ya mothusi wa moteaphala,folakga ya mothusi wa molaolapapadi,,,fuḽaga ya muthusamulangamutambo,fuḽaga ya muthusamalogwane,,,mujeko wa mupfunan'watipempe,
dsac_multi_soc_00012,attack v.,,,,aanval,,-hlasela,,,ukuhlasela,ukufunz'edabini,,,-hlasela,-gadla,,,-sahlela,,,,tlhasela,,,,hlasela,,,,,,hlasela,futuha,,,,ṱasela,,,,hlasela,
dsac_multi_soc_00013,attacker,forward,striker,,doelskieter,,umgadli,ifolosi,,umhlaseli,ufunz'edabini,ifolosi,,inhlonhloloti,lifolosi,umhlaseli,umgadli,umsahleli,umgaleli,,,motlhasedi,,,,mohlasedi,,,,,,mohlasedi,mofutuhi,,,,muṱhaseli,,,,muhlaseri,
dsac_multi_soc_00014,attacking team,attacking side,,,span wat aanval,span op die aanval,iqembu elihlaselayo,,,iqela elihlaselayo,iqela elifunz'edabini,,,licembu lelihlaselako,licembu leligadlako,,,isiqhema esisahlelako,,,,setlhopha se se tlhaselang,,,,sehlopha se se hlaselago,,,,,,sehlopha se hlaselang,sehlopha se futuhang,,,,thimuṱhaseli,,,,xipanu lexi hlaselaka,
dsac_multi_soc_00015,away game,,,,wegwedstryd,,umdlalo wasekuhambeni,,,umdlalo ongekho khaya,umdlalo wangaphandle,,,umdlalo wasekuhambeni,umdlalo wangaphandle,,,umdlalo wekukhambeni,,,,motshameko wa kwa ntle,,,,papadi ya go se ralokelwe gae,,,,,,papadi eo eseng ya lehae,,,,,mutambo wa nnḓa,,,,ntlangu wa le handle,
dsac_multi_soc_00016,away goal rule,,,,wegdoelreël,,umthetho wegoli lasekuhambeni,,,umgaqo wenqaku elisisipho kumdlalo ongekho khaya,umgaqo wenqaku elisisipho kumdlalo wangaphandle,,,umtsetfo weligoli lasekuhambeni,umtsetfo weligoli langaphandle,,,umthetho wamagondelo wekukhambeni,,,,molawana wa go nosa dino fa o etile,molawana wa dino tsa kwa ntle,,,molao wa dino tša go nwešwa fao e sego gae,,,,,,molao wa dintlha papading eo eseng ya lehae,,,,,mulayo wa tshikoro tsha mutambo wa nnḓa,,,,nawu wa tigolo leti howisiweke ehandle,
dsac_multi_soc_00017,backheel v.,,,,hakskop,,-shaya isithende,,,ukukhaba ngesithende,ukubetha ngesithende,,,-shaya sitsendze,ngesitsendze,,,-betha ngesithende,-rarha ngesithende,,,go ja ka serethe {go hila},,,,raga ka serethe,,,,,,raha ka serethe,,,,,u raha nga tshirethe,,,,raha hi xirhendze,
dsac_multi_soc_00018,back pass n.,backward pass,ball back,,agtertoe-aangee,aangee agtertoe,ukukhahlelela emuva,,,ukupasela emva,ukukhabela emva,,,kuphasela emuva,,,,ibuyiselomva,,,,thagelomorago,,,,thagelomorago,,,,,,ho rahela morao,,,,,thahelamurahu,,,,nyiketondzhaku,
dsac_multi_soc_00019,ballboy,,,,baljoggie,,umlandibhola,,,inkwenkwana echola ibhola,,,,umlandzibhola,,,,umsanebholo,,,,moseladikgwele,,,,mošemane wa go topa dikgwele,,,,,,molatadibolo,,,,,mutukana wa u dobela bola,,,,n`watibolo,
dsac_multi_soc_00020,ball distribution,,,,balverspreiding,,ukuphaka ibhola,ukutshala ibhola,,ukupaselana,ukunikezelana,,,kuniketa ibhola,kutjala ibhola,,,ukudlulisa ibholo,,,,neeletsanokgwele,,,,kabelano ya kgwele,neeletšano ya kgwele,go fana kgwele,go ragelana kgwele,,,ho rahelana bolo,,,,,kuṋekanele kwa bola,,,,nyiketanelo ra bolo,mahangalaselo ya bolo
